Title,Abstract,ArticleURL,Year,Cites,Authors,SELECTED
A causal framework to quantify the robustness of mathematical reasoning with language models,"… We have recently witnessed a number of impressive results on hard mathematical reasoning … Hence, to answer the question “How robust is the mathematical reasoning of a model on …",https://arxiv.org/abs/2210.12023,2022,69,"A Stolfo, Z Jin, K Shridhar, B Schölkopf…",1
A survey of deep learning for mathematical reasoning,"… Table 4: In-context learning with large language models for mathematical reasoning. For GPT-3, all papers use the text-davinci-002 version; for Codex, all papers use the code-davinci-…",https://arxiv.org/abs/2212.10535,2022,166,"P Lu, L Qiu, W Yu, S Welleck, KW Chang",1
Solving quantitative reasoning problems with language models,"… In particular, large language models have achieved excellent performance across a variety … of the MATH prompt for topics that involve mathematical reasoning, and add step-by-step …",https://proceedings.neurips.cc/paper_files/paper/2022/hash/18abbeef8cfe9203fdf9053c9c4fe191-Abstract-Conference.html,2022,1036,"A Lewkowycz, A Andreassen…",1
Solving math word problems via cooperative reasoning induced language models,"… We evaluate our CoRe framework on several mathematical reasoning datasets and achieve … These above methods rely on extremely large language models, resulting in high computa…",https://arxiv.org/abs/2210.16257,2022,116,"X Zhu, J Wang, L Zhang, Y Zhang, R Gan…",1
Autoformalization with large language models,"… fields that automate aspects of mathematical reasoning, such as automated … Recent advances in large language models [8… with large language models. To our surprise, we find that …",https://proceedings.neurips.cc/paper_files/paper/2022/hash/d0c6bc641a56bebee9d985b937307367-Abstract-Conference.html,2022,235,"Y Wu, AQ Jiang, W Li, M Rabe…",1
Naturalprover: Grounded mathematical proof generation with language models,"… analogous to recent work on language modeling for formal theorem proving [32], where current models are typically limited to chaining 2 or 3 non-trivial steps of mathematical reasoning…",https://proceedings.neurips.cc/paper_files/paper/2022/hash/1fc548a8243ad06616eee731e0572927-Abstract-Conference.html,2022,91,"S Welleck, J Liu, X Lu, H Hajishirzi…",1
Least-to-most prompting enables complex reasoning in large language models,"… Our empirical findings, which encompass symbolic manipulation, compositional generalization, and mathematical reasoning, reveal that least-to-most prompting significantly surpasses …",https://arxiv.org/abs/2205.10625,2022,1781,"D Zhou, N Schärli, L Hou, J Wei, N Scales…",1
Teaching small language models to reason,"… ) across commonsense, symbolic and mathematical reasoning datasets. Here, LLMs are … Distilling multi-step reasoning capabilities of large language models into smaller models via …",https://arxiv.org/abs/2212.08410,2022,321,"LC Magister, J Mallinson, J Adamek, E Malmi…",1
Lila: A unified benchmark for mathematical reasoning,"… of much larger models (≈175B), to better understand the performance of the smaller trained models (≈2.7B) and to provide a benchmark for evaluating other large language models. …",https://arxiv.org/abs/2210.17517,2022,146,"S Mishra, M Finlayson, P Lu, L Tang, S Welleck…",1
Program of thoughts prompting: Disentangling computation from reasoning for numerical reasoning tasks,… 4.1 Mathematical Reasoning in NLP Mathematical reasoning skills are essential for general-… Codet5+: Open code large language models for code understanding and generation. arXiv …,https://arxiv.org/abs/2211.12588,2022,914,"W Chen, X Ma, X Wang, WW Cohen",1
Reasoning with language model prompting: A survey,"… Arithmetic reasoning, also referred to as mathematical reasoning, is the ability to perform … tools related to CoT reasoning in large language models4. The LangChain library is designed …",https://arxiv.org/abs/2212.09597,2022,364,"S Qiao, Y Ou, N Zhang, X Chen, Y Yao, S Deng…",0
Star: Bootstrapping reasoning with reasoning,"… for LLMs across diverse tasks including mathematical reasoning, commonsense reasoning, … works has emerged exploring the capacity for large language models to perform in-context …",https://proceedings.neurips.cc/paper_files/paper/2022/hash/639a9a172c044fbb64175b5fad42e9a5-Abstract-Conference.html,2022,935,"E Zelikman, Y Wu, J Mu…",1
"MRKL Systems: A modular, neuro-symbolic architecture that combines large language models, external knowledge sources and discrete reasoning","… And mathematical reasoning is just the tip of an iceberg. … Despite all these shortcomings, large language models are an essential backbone of any future AI system. So the question is …",https://arxiv.org/abs/2205.00445,2022,102,"E Karpas, O Abend, Y Belinkov, B Lenz…",0
Language models are greedy reasoners: A systematic formal analysis of chain-of-thought,"… Large language models (LLMs) have shown remarkable … downstream tasks such as mathematical reasoning. However, … of that of general mathematical reasoning. Mathematical …",https://arxiv.org/abs/2210.01240,2022,351,"A Saparov, H He",1
What do large language models learn beyond language?,"… Large language models (LMs) have rapidly become a mainstay in Natural Language Processing. … Further, previous methods explore mathematical reasoning tasks posed as language …",https://arxiv.org/abs/2210.12302,2022,6,"A Madasu, S Srivastava",0
